open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743465600000,82490.1,82714.4,82383.0,82596.2,191500,1743467399999,232.03133590,3815,139009,168.42889494,0
1743467400000,82596.2,82793.3,82500.1,82601.5,204246,1743469199999,247.13980975,6017,100637,121.75152969,0
1743469200000,82601.4,82685.8,82390.7,82662.7,232162,1743470999999,281.34503568,5339,99831,120.91636139,0
1743471000000,82662.7,82711.8,82502.1,82670.0,135000,1743472799999,163.37883757,3441,103201,124.89438267,0
1743472800000,82670.0,82987.3,82610.0,82852.8,184723,1743474599999,222.91905584,4054,142480,171.93900495,0
1743474600000,82852.8,83074.9,82755.1,83067.9,152270,1743476399999,183.55748341,3915,101691,122.55826058,0
1743476400000,83068.0,83211.0,82987.6,83045.7,168318,1743478199999,202.50676298,3783,95492,114.88316797,0
1743478200000,83045.8,83090.5,82874.3,82921.8,72871,1743479999999,87.82610941,2582,27768,33.45964803,0
1743480000000,82921.8,83010.0,82844.0,83005.9,56218,1743481799999,67.80055384,2253,30334,36.58359000,0
1743481800000,83005.9,83195.2,83005.9,83020.7,105752,1743483599999,127.25271835,2149,40470,48.69404514,0
1743483600000,83020.6,83288.7,82968.1,83244.1,112261,1743485399999,134.98473736,2796,78327,94.18135992,0
1743485400000,83244.1,83288.5,82955.3,82966.0,111725,1743487199999,134.44992078,2596,47453,57.09429067,0
1743487200000,82966.1,83109.6,82844.6,83109.6,184438,1743488999999,222.34545465,3246,84971,102.37859499,0
1743489000000,83099.9,83454.7,83078.0,83418.0,234695,1743490799999,281.71335515,5728,147383,176.94793177,0
1743490800000,83418.0,83524.9,83330.1,83412.0,226323,1743492599999,271.27356859,6076,118172,141.63922114,0
1743492600000,83412.0,83560.0,83357.9,83411.7,176529,1743494399999,211.49867943,5655,89262,106.93609007,0
1743494400000,83411.7,83988.8,83392.7,83889.4,394877,1743496199999,471.68197910,7883,235182,280.88469486,0
1743496200000,83890.0,84188.2,83877.2,84074.5,466651,1743497999999,555.27202024,9847,265156,315.49411807,0
1743498000000,84074.6,84266.5,84064.4,84180.1,278290,1743499799999,330.55637499,6599,149321,177.37748816,0
1743499800000,84180.0,84344.9,84158.6,84312.0,158109,1743501599999,187.61003231,4604,85791,101.79251623,0
1743501600000,84312.1,84460.0,84123.9,84376.2,335159,1743503399999,397.46985403,7639,165149,195.79995119,0
1743503400000,84376.2,84401.6,84116.5,84141.6,147673,1743505199999,175.31976701,5364,62898,74.68368870,0
1743505200000,84141.6,84168.0,83921.1,84006.0,270087,1743506999999,321.33924276,5873,89538,106.52746955,0
1743507000000,84005.9,84012.7,83787.0,83886.7,105425,1743508799999,125.64436038,4131,40211,47.92199672,0
