open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735689600000,93422.4,93751.9,93319.8,93617.2,313847,1735691399999,335.44950364,4543,191632,204.84859907,0
1735691400000,93617.2,94328.9,93617.1,94246.8,434122,1735693199999,462.21299402,6386,293458,312.43201710,0
1735693200000,94246.8,94252.0,93702.3,93702.3,245076,1735694999999,260.99309019,4720,102966,109.63078017,0
1735695000000,93702.3,93841.0,93432.8,93455.0,203592,1735696799999,217.42897687,3577,66456,70.97382361,0
1735696800000,93455.0,93661.4,93436.4,93599.3,175014,1735698599999,187.04843482,2967,108839,116.32597487,0
1735698600000,93599.6,93949.1,93599.3,93928.0,128994,1735700399999,137.51419770,2795,85742,91.41445567,0
1735700400000,93928.0,93928.1,93615.2,93674.1,157476,1735702199999,167.98119971,2538,71568,76.33357477,0
1735702200000,93674.1,93725.1,93568.0,93680.9,127813,1735703999999,136.44702706,1813,66856,71.37641748,0
1735704000000,93680.9,93680.9,93511.7,93567.5,170609,1735705799999,182.34838985,2089,63259,67.61227800,0
1735705800000,93567.5,93567.6,93371.1,93393.7,88323,1735707599999,94.48722218,1722,39887,42.67007111,0
1735707600000,93393.7,93750.0,93379.0,93707.5,118765,1735709399999,126.99203485,2151,77985,83.37834118,0
1735709400000,93707.5,93750.0,93611.6,93611.6,225066,1735711199999,240.27387493,1884,128386,137.06792498,0
1735711200000,93611.6,93611.6,93413.8,93475.0,169160,1735712999999,180.86376837,2189,54439,58.22232248,0
1735713000000,93475.0,93588.7,93393.9,93588.6,107995,1735714799999,115.55000684,1548,58340,62.41974372,0
1735714800000,93588.5,93611.4,93484.7,93611.4,58008,1735716599999,62.01698150,1344,28090,30.02956768,0
1735716600000,93611.3,93640.3,93511.3,93517.7,80513,1735718399999,86.04461790,1361,36930,39.46727460,0
1735718400000,93517.7,93588.4,93153.7,93269.7,253498,1735720199999,271.35751477,2989,126162,134.97420772,0
1735720200000,93269.8,93396.6,93156.2,93279.1,159122,1735721999999,170.59469471,3016,66090,70.83169669,0
1735722000000,93279.1,93335.1,92735.1,92969.8,675860,1735723799999,726.94758645,7866,217615,233.97261015,0
1735723800000,92969.8,93270.2,92828.3,93259.4,444909,1735725599999,478.27190090,5226,248041,266.56127147,0
1735725600000,93259.5,93393.8,93202.5,93256.0,255680,1735727399999,274.00068256,3623,130938,140.32493309,0
1735727400000,93253.6,93360.8,93131.5,93189.0,120416,1735729199999,129.14839091,2188,53549,57.43370225,0
1735729200000,93189.0,93357.0,93054.5,93357.0,196142,1735730999999,210.41773502,2856,97955,105.04925631,0
1735731000000,93358.2,93573.6,93264.0,93316.0,237808,1735732799999,254.62705254,3697,154747,165.68724638,0
1735732800000,93316.0,93834.0,93260.4,93756.5,253329,1735734599999,270.98813250,3973,159649,170.72308694,0
1735734600000,93756.3,93767.6,93562.1,93687.0,148074,1735736399999,158.05629506,2995,78328,83.60580124,0
1735736400000,93681.4,93762.9,93462.9,93600.0,227200,1735738199999,242.77118572,3890,123527,131.98635247,0
1735738200000,93600.0,93942.2,93594.5,93908.3,201589,1735739999999,214.98838832,3462,132573,141.36641412,0
1735740000000,93908.2,94320.7,93752.6,93783.9,561630,1735741799999,597.05031801,8082,312396,332.05929794,0
1735741800000,93784.0,94090.8,93524.1,94052.9,431852,1735743599999,460.18116715,7541,216665,230.77303105,0
1735743600000,94052.8,94141.4,93764.8,94028.6,243890,1735745399999,259.53696433,4587,117013,124.50980662,0
1735745400000,94027.9,94372.3,93957.3,94290.1,222559,1735747199999,236.40050686,4389,155045,164.69615042,0
1735747200000,94294.9,94360.0,93950.0,94007.6,277143,1735748999999,294.38467475,5893,133418,141.71532610,0
1735749000000,94009.9,94047.8,93776.0,93952.0,284554,1735750799999,303.04659384,4587,82424,87.77950299,0
1735750800000,93952.0,94004.7,93610.7,93833.6,300547,1735752599999,320.54973783,4782,117002,124.77294675,0
1735752600000,93833.6,94046.5,93756.0,94005.8,115266,1735754399999,122.75063076,2392,67791,72.18083674,0
1735754400000,94000.1,94089.1,93792.3,94061.5,156390,1735756199999,166.46190096,2336,98255,104.57570937,0
1735756200000,94061.5,94218.0,94033.8,94179.0,152605,1735757999999,162.12055099,2932,81273,86.34134037,0
1735758000000,94178.9,94251.1,94015.2,94109.7,141563,1735759799999,150.37942820,2506,63564,67.51580760,0
1735759800000,94107.8,94693.1,93977.8,94487.3,513696,1735761599999,544.17551479,7227,257378,272.62111176,0
1735761600000,94487.4,94700.0,94456.9,94572.7,146618,1735763399999,155.03778704,2491,65036,68.74271057,0
1735763400000,94572.6,94725.1,94503.6,94644.0,203693,1735765199999,215.24660978,3183,88734,93.75507905,0
1735765200000,94644.0,95031.6,94543.8,94815.0,311366,1735766999999,328.43697291,4463,187600,197.87506285,0
1735767000000,94815.0,94863.9,94589.8,94833.5,238116,1735768799999,251.39169346,3530,106395,112.33303944,0
1735768800000,94837.1,94855.6,94522.7,94597.5,197140,1735770599999,208.28034759,2879,73309,77.43781329,0
1735770600000,94597.7,94813.9,94597.7,94654.6,86340,1735772399999,91.18048599,1583,46790,49.42027788,0
1735772400000,94645.1,94807.3,94455.7,94496.0,205418,1735774199999,217.11611562,3434,79490,84.00573577,0
1735774200000,94496.1,94606.6,94389.3,94446.4,215505,1735775999999,228.11189272,3479,84118,89.04044323,0
1735776000000,94446.4,95064.0,94248.1,94795.7,571200,1735777799999,604.06955372,8090,274345,289.96758552,0
1735777800000,94788.0,95240.0,94583.4,94985.2,670891,1735779599999,706.38589056,12757,345004,363.27472275,0
1735779600000,94985.4,95400.1,94869.6,94948.0,482470,1735781399999,507.03408281,8742,255303,268.26422820,0
1735781400000,94948.0,94948.0,94596.6,94744.0,262667,1735783199999,277.17445908,5079,118820,125.38442704,0
1735783200000,94744.0,95011.8,94676.6,94903.0,163860,1735784999999,172.74347350,3740,82420,86.89567484,0
1735785000000,94903.0,95109.1,94710.2,95109.1,215310,1735786799999,226.80471041,4003,133221,140.32268748,0
1735786800000,95110.9,95168.7,94828.5,94945.0,198835,1735788599999,209.35072198,3068,97897,103.09061330,0
1735788600000,94945.1,94967.4,94792.1,94876.7,105945,1735790399999,111.68226946,1800,33274,35.07908964,0
1735790400000,94876.8,95149.5,94869.1,95049.6,177232,1735792199999,186.56763430,3433,88349,93.01753247,0
1735792200000,95049.7,95892.4,95049.7,95580.6,759340,1735793999999,793.78135022,10804,442265,462.47868300,0
1735794000000,95580.6,95682.8,95266.3,95632.1,338690,1735795799999,354.81465593,5555,173787,182.06353135,0
1735795800000,95632.1,95652.4,95416.7,95476.4,171182,1735797599999,179.15640701,2645,70414,73.69517939,0
1735797600000,95476.4,95573.4,95257.8,95340.3,194806,1735799399999,204.21736070,3219,81559,85.50236167,0
1735799400000,95340.4,95500.9,95242.3,95474.1,225700,1735801199999,236.63664958,2569,120843,126.69688570,0
1735801200000,95474.1,95748.0,95403.4,95677.5,185769,1735802999999,194.28367070,3140,97071,101.54485605,0
1735803000000,95677.6,95787.4,95613.9,95740.4,182493,1735804799999,190.65552626,2918,85346,89.16316711,0
1735804800000,95740.4,95953.4,95550.7,95626.3,328634,1735806599999,343.15679365,4941,136619,142.63318263,0
1735806600000,95630.1,96144.3,95531.3,96040.5,753533,1735808399999,785.21655847,7599,520246,542.06969529,0
1735808400000,96040.4,96351.8,95936.0,96304.5,695862,1735810199999,723.33828908,8325,497574,517.20684604,0
1735810200000,96304.6,96734.5,96182.7,96661.8,689184,1735811999999,714.58572108,8420,351962,364.89567536,0
1735812000000,96660.2,96755.8,96488.6,96615.5,486331,1735813799999,503.32816202,5900,218710,226.31772888,0
1735813800000,96612.6,96682.0,96461.5,96643.2,311124,1735815599999,322.14844754,4431,146217,151.38301204,0
1735815600000,96643.3,96815.8,96399.0,96476.1,579637,1735817399999,600.36881585,6268,291910,302.36203482,0
1735817400000,96476.1,96729.2,96472.3,96665.4,273191,1735819199999,282.83267935,3701,131722,136.37952711,0
